TimeDate,KP,DCC (m),Easting (m),Northing (m),TOP (m),BOP (m),MADJ (m),MSBL (m),DOC (m),DOL (m),Comment
14/08/2017,0.134,0.46,335784.16,6464376.73,141.56,141.84,141.86,141.25,-0.3,0.31,
14/08/2017,0.135,0.51,335783.25,6464376.57,141.52,141.79,141.79,141.3,-0.27,0.22,
14/08/2017,0.136,0.57,335782.27,6464376.4,141.47,141.74,141.75,141.32,-0.28,0.15,
14/08/2017,0.137,0.6,335781.28,6464376.23,141.42,141.69,141.69,141.3,-0.27,0.12,
14/08/2017,0.138,0.63,335780.31,6464376.06,141.37,141.64,141.64,141.25,-0.27,0.12,
14/08/2017,0.139,0.65,335779.31,6464375.89,141.32,141.6,141.63,141.24,-0.31,0.08,
14/08/2017,0.14,0.68,335778.35,6464375.72,141.29,141.56,141.51,141.22,-0.22,0.07,
14/08/2017,0.141,0.71,335777.37,6464375.55,141.25,141.52,141.19,141.14,0.06,0.11,
14/08/2017,0.142,0.74,335776.38,6464375.38,141.22,141.49,141.14,141.08,0.08,0.14,
14/08/2017,0.143,0.76,335775.35,6464375.2,141.18,141.46,141.1,141.07,0.08,0.11,
14/08/2017,0.144,0.78,335774.44,6464375.04,141.16,141.43,141.09,141.04,0.07,0.12,
14/08/2017,0.145,0.79,335773.49,6464374.87,141.13,141.4,141.07,141.02,0.06,0.11,
14/08/2017,0.15,0.76,335768.71,6464373.96,141.02,141.29,141.02,140.97,0,0.05,
14/08/2017,0.151,0.73,335767.72,6464373.76,141,141.27,141.06,141.01,-0.06,-0.01,
14/08/2017,0.152,0.69,335766.74,6464373.57,140.99,141.26,141.27,141,-0.28,-0.01,
14/08/2017,0.153,0.65,335765.77,6464373.38,140.98,141.25,141.28,141,-0.3,-0.02,
14/08/2017,0.154,0.61,335764.78,6464373.18,140.97,141.24,141.27,140.99,-0.3,-0.02,
14/08/2017,0.155,0.58,335763.78,6464372.98,140.97,141.24,141.23,140.98,-0.26,-0.01,
14/08/2017,0.156,0.54,335762.84,6464372.8,140.97,141.24,141.28,140.95,-0.31,0.02,
14/08/2017,0.157,0.51,335761.86,6464372.6,140.97,141.24,141.25,141.03,-0.28,-0.06,
14/08/2017,0.158,0.47,335760.9,6464372.41,140.97,141.25,141.23,140.99,-0.26,-0.02,
14/08/2017,0.159,0.43,335759.95,6464372.22,140.97,141.25,141.25,140.99,-0.28,-0.02,
14/08/2017,0.16,0.4,335758.97,6464372.03,140.97,141.25,141.24,140.97,-0.27,0,
14/08/2017,0.161,0.38,335758,6464371.84,140.97,141.25,141.28,140.99,-0.31,-0.02,
14/08/2017,0.162,0.35,335757,6464371.64,140.98,141.25,141.31,141.04,-0.33,-0.06,
14/08/2017,0.163,0.33,335756.04,6464371.45,140.98,141.25,141.25,141.01,-0.27,-0.03,
14/08/2017,0.164,0.31,335755.07,6464371.26,140.98,141.25,141.26,140.99,-0.28,-0.01,
14/08/2017,0.165,0.28,335754.08,6464371.06,140.99,141.26,141.25,140.99,-0.26,0,
14/08/2017,0.166,0.22,335753.02,6464370.85,141.01,141.28,141.28,141.03,-0.27,-0.02,
14/08/2017,0.167,0.17,335752.05,6464370.66,141.04,141.31,141.3,141.03,-0.26,0.01,
14/08/2017,0.168,0.12,335751.09,6464370.47,141.07,141.34,141.29,141.01,-0.22,0.06,
14/08/2017,0.169,0.08,335750.3,6464370.31,141.1,141.37,141.08,141.02,0.02,0.08,
14/08/2017,0.17,0.04,335749.37,6464370.13,141.13,141.4,141.12,141.03,0.01,0.1,
14/08/2017,0.171,-0.02,335748.25,6464369.91,141.17,141.44,141.15,141.07,0.02,0.1,
14/08/2017,0.172,-0.09,335747.45,6464369.75,141.19,141.46,141.15,141.09,0.04,0.1,
14/08/2017,0.173,-0.16,335746.46,6464369.55,141.22,141.5,141.2,141.11,0.02,0.11,
14/08/2017,0.174,-0.24,335745.45,6464369.36,141.26,141.53,141.22,141.1,0.04,0.16,
14/08/2017,0.175,-0.33,335744.42,6464369.15,141.3,141.57,141.25,141.19,0.05,0.11,
14/08/2017,0.176,-0.4,335743.53,6464368.98,141.34,141.62,141.29,141.21,0.05,0.13,
14/08/2017,0.177,-0.48,335742.5,6464368.77,141.39,141.66,141.46,141.23,-0.07,0.16,
14/08/2017,0.178,-0.52,335741.6,6464368.62,141.43,141.7,141.63,141.31,-0.2,0.12,
14/08/2017,0.179,-0.58,335740.55,6464368.43,141.48,141.75,141.72,141.33,-0.24,0.15,
14/08/2017,0.18,-0.65,335739.66,6464368.25,141.51,141.79,141.78,141.42,-0.27,0.09,
14/08/2017,0.181,-0.72,335738.71,6464368.05,141.55,141.83,141.79,141.5,-0.24,0.05,
14/08/2017,0.182,-0.81,335737.68,6464367.84,141.61,141.88,141.87,141.58,-0.26,0.03,
